2023-12-30 22:12:844 INFO  CreateAccountPage :177 - Entering address2 into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: address2]
2023-12-30 22:12:102 INFO  CreateAccountPage :182 - Selecting Country into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: country]
2023-12-30 22:12:357 INFO  CreateAccountPage :187 - Entering State into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: state]
2023-12-30 22:12:585 INFO  CreateAccountPage :192 - Entering city into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: city]
2023-12-30 22:12:761 INFO  CreateAccountPage :197 - Entering Zipcode into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> name: zipcode]
2023-12-30 22:12:929 INFO  CreateAccountPage :202 - Entering mobile number into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: mobile_number]
2023-12-30 22:12:81 INFO  CreateAccountPage :207 - Clicking on Create Account button : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //button[normalize-space()='Create Account']]
2023-12-30 22:12:837 INFO  CreateAccountPage :212 - Getting text from : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //b[normalize-space()='Account Created!']]
2023-12-30 22:12:989 INFO  CreateAccountPage :217 - Clicking on Continue button : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //a[normalize-space()='Continue']]
2023-12-30 22:12:530 INFO  HomePage :145 - Getting text from : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> css selector: li:nth-child(10) a:nth-child(1)]
2023-12-30 22:12:587 INFO  HomePage :192 - Clicking on Cart Link : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //a[normalize-space()='Cart']]
2023-12-30 22:12:916 INFO  ProductPage :197 - Clicking on Right Arrow Button : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //a[normalize-space()='Proceed To Checkout']]
2023-12-30 22:12:880 INFO  ProductPage :202 - Getting Text from : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: (//li[@class='address_address1 address_address2'][normalize-space()='41 Satellite Road'])[1]]
2023-12-30 22:12:959 INFO  ProductDetailPage :168 - Entering Comment into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //textarea[@name='message']]
2023-12-30 22:12:366 INFO  ProductDetailPage :171 - Clicking on Place order : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //a[normalize-space()='Place Order']]
2023-12-30 22:12:819 INFO  PaymentPage :52 - Entering Name On Card into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> name: name_on_card]
2023-12-30 22:12:43 INFO  PaymentPage :57 - Entering Card Number into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //input[@name='card_number']]
2023-12-30 22:12:219 INFO  PaymentPage :62 - Entering CVC number into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //input[@placeholder='ex. 311']]
2023-12-30 22:12:481 INFO  PaymentPage :67 - Entering Month into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> name: expiry_month]
2023-12-30 22:12:602 INFO  PaymentPage :72 - Entering Year into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //input[@placeholder='YYYY']]
2023-12-30 22:12:735 INFO  PaymentPage :77 - Clicking on Pay And Confirm order : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: submit]
2023-12-30 22:12:871 INFO  PaymentPage :87 - Getting text from : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //p[normalize-space()='Congratulations! Your order has been confirmed!']]
2023-12-30 22:12:916 INFO  PaymentPage :91 - Clicking on Download Invoice : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //a[normalize-space()='Download Invoice']]
2023-12-30 22:12:488 INFO  HomePage :149 - Clicking on Delete Account : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //a[normalize-space()='Delete Account']]
2023-12-30 22:12:614 INFO  HomePage :153 - Getting text from : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //b[normalize-space()='Account Deleted!']]
2023-12-30 22:12:739 INFO  HomePage :158 - Clicking on Continue Button : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //a[normalize-space()='Continue']]
2023-12-30 22:12:07 INFO  HomePage :202 - Clicking on Product Link : [[ChromeDriver: chrome on windows (f518f059af308499e4ded1c917678588)] -> xpath: //a[@href='/products']]
